,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
91,Roubo seguido de morte (latrocínio),Amapá,2011,2.0,13,AP,702638,Desligado,27054,0.28464159353749724,3850.3468357817255
92,Roubo seguido de morte (latrocínio),Amapá,2012,8.0,13,AP,718906,Desligado,25693,1.1128019518546237,3573.9025686251057
93,Roubo seguido de morte (latrocínio),Amapá,2013,10.0,13,AP,734996,Desligado,29198,1.3605516220496439,3972.5386260605496
94,Roubo seguido de morte (latrocínio),Amapá,2014,9.0,13,AP,750912,Desligado,25788,1.1985425722321656,3434.2239836358985
95,Roubo de veículo,Amapá,2010,,13,AP,686189,Desligado,23081,,3363.6505394286414
96,Roubo de veículo,Amapá,2011,33.0,13,AP,702638,Desligado,27054,4.696586293368704,3850.3468357817255
97,Roubo de veículo,Amapá,2012,142.0,13,AP,718906,Desligado,25693,19.752234645419566,3573.9025686251057
98,Roubo de veículo,Amapá,2013,196.0,13,AP,734996,Desligado,29198,26.666811792173018,3972.5386260605496
99,Roubo de veículo,Amapá,2014,258.0,13,AP,750912,Desligado,25788,34.35822040398875,3434.2239836358985
100,Lesão corporal seguida de morte,Amapá,2010,3.0,13,AP,686189,Desligado,23081,0.4371973319304157,3363.6505394286414
101,Lesão corporal seguida de morte,Amapá,2011,1.0,13,AP,702638,Desligado,27054,0.14232079676874862,3850.3468357817255
102,Lesão corporal seguida de morte,Amapá,2012,3.0,13,AP,718906,Desligado,25693,0.41730073194548384,3573.9025686251057
103,Lesão corporal seguida de morte,Amapá,2013,7.0,13,AP,734996,Desligado,29198,0.9523861354347506,3972.5386260605496
104,Lesão corporal seguida de morte,Amapá,2014,1.0,13,AP,750912,Desligado,25788,0.13317139691468508,3434.2239836358985
105,Homicídio doloso,Amapá,2010,26.0,13,AP,686189,Desligado,23081,3.789043543396936,3363.6505394286414
106,Homicídio doloso,Amapá,2011,117.0,13,AP,702638,Desligado,27054,16.65153322194359,3850.3468357817255
107,Homicídio doloso,Amapá,2012,217.0,13,AP,718906,Desligado,25693,30.184752944056665,3573.9025686251057
108,Homicídio doloso,Amapá,2013,198.0,13,AP,734996,Desligado,29198,26.93892211658295,3972.5386260605496
109,Homicídio doloso,Amapá,2014,139.0,13,AP,750912,Desligado,25788,18.510824171141227,3434.2239836358985
110,Furto de veículo,Amapá,2010,3.0,13,AP,686189,Desligado,23081,0.4371973319304157,3363.6505394286414
111,Furto de veículo,Amapá,2011,122.0,13,AP,702638,Desligado,27054,17.363137205787332,3850.3468357817255
112,Furto de veículo,Amapá,2012,545.0,13,AP,718906,Desligado,25693,75.80963297009623,3573.9025686251057
113,Furto de veículo,Amapá,2013,704.0,13,AP,734996,Desligado,29198,95.78283419229493,3972.5386260605496
114,Furto de veículo,Amapá,2014,645.0,13,AP,750912,Desligado,25788,85.89555100997188,3434.2239836358985
115,Estupro,Amapá,2010,79.0,13,AP,686189,Desligado,23081,11.512863074167614,3363.6505394286414
116,Estupro,Amapá,2011,136.0,13,AP,702638,Desligado,27054,19.355628360549815,3850.3468357817255
117,Estupro,Amapá,2012,431.0,13,AP,718906,Desligado,25693,59.95220515616784,3573.9025686251057
118,Estupro,Amapá,2013,476.0,13,AP,734996,Desligado,29198,64.76225720956305,3972.5386260605496
119,Estupro,Amapá,2014,343.0,13,AP,750912,Desligado,25788,45.67778914173698,3434.2239836358985
120,Roubo seguido de morte (latrocínio),Bahia,2010,119.0,29,BA,14768300,Desligado,60960,0.805779947590447,412.77601348835003
121,Roubo seguido de morte (latrocínio),Bahia,2011,125.0,29,BA,14865400,Desligado,61214,0.8408788192715971,411.7884483431324
122,Roubo seguido de morte (latrocínio),Bahia,2012,174.0,29,BA,1495720,Desligado,58512,11.633193378439815,3911.96213194983
123,Roubo seguido de morte (latrocínio),Bahia,2013,152.0,29,BA,15044100,Desligado,67308,1.0103628665058062,447.4046303866632
124,Roubo seguido de morte (latrocínio),Bahia,2014,191.0,29,BA,15126400,Desligado,56224,1.2626930399830758,371.69452083774064
125,Roubo de veículo,Bahia,2010,8446.0,29,BA,14768300,Desligado,60960,57.190062498730384,412.77601348835003
126,Roubo de veículo,Bahia,2011,8963.0,29,BA,14865400,Desligado,61214,60.294374857050606,411.7884483431324
127,Roubo de veículo,Bahia,2012,12442.0,29,BA,1495720,Desligado,58512,831.8401839916561,3911.96213194983
128,Roubo de veículo,Bahia,2013,12853.0,29,BA,15044100,Desligado,67308,85.43548633683636,447.4046303866632
129,Roubo de veículo,Bahia,2014,14445.0,29,BA,15126400,Desligado,56224,95.49529299767295,371.69452083774064
130,Lesão corporal seguida de morte,Bahia,2010,180.0,29,BA,14768300,Desligado,60960,1.2188268114813485,412.77601348835003
131,Lesão corporal seguida de morte,Bahia,2011,185.0,29,BA,14865400,Desligado,61214,1.2445006525219637,411.7884483431324
132,Lesão corporal seguida de morte,Bahia,2012,146.0,29,BA,1495720,Desligado,58512,9.761185248575936,3911.96213194983
133,Lesão corporal seguida de morte,Bahia,2013,122.0,29,BA,15044100,Desligado,67308,0.8109491428533444,447.4046303866632
134,Lesão corporal seguida de morte,Bahia,2014,125.0,29,BA,15126400,Desligado,56224,0.8263697905648404,371.69452083774064
135,Homicídio doloso,Bahia,2010,4634.0,29,BA,14768300,Desligado,60960,31.37801913558094,412.77601348835003
136,Homicídio doloso,Bahia,2011,4705.0,29,BA,14865400,Desligado,61214,31.650678757382916,411.7884483431324
137,Homicídio doloso,Bahia,2012,5879.0,29,BA,1495720,Desligado,58512,393.054849838205,3911.96213194983
138,Homicídio doloso,Bahia,2013,5439.0,29,BA,15044100,Desligado,67308,36.153708098191316,447.4046303866632
139,Homicídio doloso,Bahia,2014,5467.0,29,BA,15126400,Desligado,56224,36.14210916014385,371.69452083774064
140,Furto de veículo,Bahia,2010,4545.0,29,BA,14768300,Desligado,60960,30.775376989904053,412.77601348835003
141,Furto de veículo,Bahia,2011,3779.0,29,BA,14865400,Desligado,61214,25.421448464218923,411.7884483431324
142,Furto de veículo,Bahia,2012,4103.0,29,BA,1495720,Desligado,58512,274.3160484582676,3911.96213194983
143,Furto de veículo,Bahia,2013,4790.0,29,BA,15044100,Desligado,67308,31.839724543176395,447.4046303866632
144,Furto de veículo,Bahia,2014,5432.0,29,BA,15126400,Desligado,56224,35.9107256187857,371.69452083774064
145,Estupro,Bahia,2010,1982.0,29,BA,14768300,Desligado,60960,13.420637446422406,412.77601348835003
146,Estupro,Bahia,2011,1811.0,29,BA,14865400,Desligado,61214,12.1826523336069,411.7884483431324
147,Estupro,Bahia,2012,2683.0,29,BA,1495720,Desligado,58512,179.3784933008852,3911.96213194983
148,Estupro,Bahia,2013,3196.0,29,BA,15044100,Desligado,67308,21.244208693108927,447.4046303866632
149,Estupro,Bahia,2014,924.0,29,BA,15126400,Desligado,56224,6.1085254918553,371.69452083774064
150,Roubo seguido de morte (latrocínio),Ceará,2010,48.0,23,CE,8569780,Desligado,22924,0.5601077273862339,267.4981154708756
151,Roubo seguido de morte (latrocínio),Ceará,2011,76.0,23,CE,8642630,Desligado,20201,0.8793619534794386,233.73672134523866
152,Roubo seguido de morte (latrocínio),Ceará,2012,101.0,23,CE,8712410,Desligado,20152,1.1592659206809597,231.3022458768584
153,Roubo seguido de morte (latrocínio),Ceará,2013,107.0,23,CE,8779340,Desligado,25011,1.2187704314902943,284.8847407663902
154,Roubo seguido de morte (latrocínio),Ceará,2014,74.0,23,CE,8843550,Desligado,20918,0.8367680399839431,236.53397108627192
155,Roubo de veículo,Ceará,2010,4029.0,23,CE,8569780,Desligado,22924,47.01404236748201,267.4981154708756
156,Roubo de veículo,Ceará,2011,2823.0,23,CE,8642630,Desligado,20201,32.66366835095336,233.73672134523866
157,Roubo de veículo,Ceará,2012,6359.0,23,CE,8712410,Desligado,20152,72.98784148128934,231.3022458768584
158,Roubo de veículo,Ceará,2013,9595.0,23,CE,8779340,Desligado,25011,109.29067560887263,284.8847407663902
159,Roubo de veículo,Ceará,2014,,23,CE,8843550,Desligado,20918,,236.53397108627192
160,Lesão corporal seguida de morte,Ceará,2010,60.0,23,CE,8569780,Desligado,22924,0.7001346592327924,267.4981154708756
161,Lesão corporal seguida de morte,Ceará,2011,69.0,23,CE,8642630,Desligado,20201,0.7983680893431745,233.73672134523866
162,Lesão corporal seguida de morte,Ceará,2012,64.0,23,CE,8712410,Desligado,20152,0.7345843457780339,231.3022458768584
163,Lesão corporal seguida de morte,Ceará,2013,75.0,23,CE,8779340,Desligado,25011,0.8542783398296455,284.8847407663902
164,Lesão corporal seguida de morte,Ceará,2014,66.0,23,CE,8843550,Desligado,20918,0.7463066302559493,236.53397108627192
165,Homicídio doloso,Ceará,2010,2647.0,23,CE,8569780,Desligado,22924,30.88760738315336,267.4981154708756
166,Homicídio doloso,Ceará,2011,2618.0,23,CE,8642630,Desligado,20201,30.291705186962766,233.73672134523866
167,Homicídio doloso,Ceará,2012,3492.0,23,CE,8712410,Desligado,20152,40.080758366513976,231.3022458768584
168,Homicídio doloso,Ceará,2013,4077.0,23,CE,8779340,Desligado,25011,46.43857055313953,284.8847407663902
169,Homicídio doloso,Ceará,2014,4135.0,23,CE,8843550,Desligado,20918,46.75724115315682,236.53397108627192
170,Furto de veículo,Ceará,2010,3725.0,23,CE,8569780,Desligado,22924,43.4666934273692,267.4981154708756
171,Furto de veículo,Ceará,2011,2873.0,23,CE,8642630,Desligado,20201,33.242195951926675,233.73672134523866
172,Furto de veículo,Ceará,2012,4277.0,23,CE,8712410,Desligado,20152,49.09089448269767,231.3022458768584
173,Furto de veículo,Ceará,2013,4880.0,23,CE,8779340,Desligado,25011,55.58504397824894,284.8847407663902
174,Furto de veículo,Ceará,2014,,23,CE,8843550,Desligado,20918,,236.53397108627192
175,Estupro,Ceará,2010,490.0,23,CE,8569780,Desligado,22924,5.717766383734472,267.4981154708756
176,Estupro,Ceará,2011,493.0,23,CE,8642630,Desligado,20201,5.704282145596884,233.73672134523866
177,Estupro,Ceará,2012,1485.0,23,CE,8712410,Desligado,20152,17.044652398130943,231.3022458768584
178,Estupro,Ceará,2013,1675.0,23,CE,8779340,Desligado,25011,19.078882922862082,284.8847407663902
179,Estupro,Ceará,2014,1561.0,23,CE,8843550,Desligado,20918,17.6512825731748,236.53397108627192
180,Roubo seguido de morte (latrocínio),Distrito Federal,2010,139.0,53,DF,2602070,Desligado,36768,5.341900871229444,1413.028857793987
181,Roubo seguido de morte (latrocínio),Distrito Federal,2011,44.0,53,DF,2664440,Desligado,39550,1.6513789013826548,1484.3644443109997
182,Roubo seguido de morte (latrocínio),Distrito Federal,2012,47.0,53,DF,2727100,Desligado,38568,1.723442484690697,1414.2495691393788
183,Roubo seguido de morte (latrocínio),Distrito Federal,2013,27.0,53,DF,2789760,Desligado,45596,0.9678251892635925,1634.405827024547
184,Roubo seguido de morte (latrocínio),Distrito Federal,2014,45.0,53,DF,2852370,Desligado,39366,1.5776354400025243,1380.1154829142083
185,Roubo de veículo,Distrito Federal,2010,2854.0,53,DF,2602070,Desligado,36768,109.68190709704196,1413.028857793987
186,Roubo de veículo,Distrito Federal,2011,2769.0,53,DF,2664440,Desligado,39550,103.92427677110388,1484.3644443109997
187,Roubo de veículo,Distrito Federal,2012,4120.0,53,DF,2727100,Desligado,38568,151.07623482820577,1414.2495691393788
188,Roubo de veículo,Distrito Federal,2013,4143.0,53,DF,2789760,Desligado,45596,148.50739848589126,1634.405827024547
189,Roubo de veículo,Distrito Federal,2014,7110.0,53,DF,2852370,Desligado,39366,249.26639952039883,1380.1154829142083
190,Lesão corporal seguida de morte,Distrito Federal,2010,58.0,53,DF,2602070,Desligado,36768,2.2289946081389047,1413.028857793987
191,Lesão corporal seguida de morte,Distrito Federal,2011,13.0,53,DF,2664440,Desligado,39550,0.48790740268123883,1484.3644443109997
192,Lesão corporal seguida de morte,Distrito Federal,2012,5.0,53,DF,2727100,Desligado,38568,0.18334494517986138,1414.2495691393788
193,Lesão corporal seguida de morte,Distrito Federal,2013,5.0,53,DF,2789760,Desligado,45596,0.1792268869006653,1634.405827024547
