,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
489,Crime contra o patrimônio,Piauí,2014,2866.0,22,PI,3193960,Desligado,6643,89.73186890255357,207.98632418690278
494,Crime contra a vida,Piauí,2014,14.0,22,PI,3193960,Desligado,6643,0.43832734285964764,207.98632418690278
499,Crime contra a vida,Piauí,2014,659.0,22,PI,3193960,Desligado,6643,20.632694210321983,207.98632418690278
504,Crime contra o patrimônio,Piauí,2014,1456.0,22,PI,3193960,Desligado,6643,45.586043657403344,207.98632418690278
509,Crime contra a vida,Piauí,2014,481.0,22,PI,3193960,Desligado,6643,15.05967513682075,207.98632418690278
514,Crime contra a vida,Paraná,2014,44.0,41,PR,11081700,Desligado,46160,0.3970509939810679,416.5425882310476
519,Crime contra o patrimônio,Paraná,2014,8539.0,41,PR,11081700,Desligado,46160,77.0549644910077,416.5425882310476
524,Crime contra a vida,Paraná,2014,81.0,41,PR,11081700,Desligado,46160,0.7309347843742386,416.5425882310476
529,Crime contra a vida,Paraná,2014,1367.0,41,PR,11081700,Desligado,46160,12.335652472093633,416.5425882310476
534,Crime contra o patrimônio,Paraná,2014,16452.0,41,PR,11081700,Desligado,46160,148.460976204012,416.5425882310476
539,Crime contra a vida,Paraná,2014,4298.0,41,PR,11081700,Desligado,46160,38.784663002968855,416.5425882310476
544,Crime contra a vida,Rio de Janeiro,2014,146.0,33,RJ,16461200,Desligado,87948,0.8869341238791826,534.2745364857968
549,Crime contra o patrimônio,Rio de Janeiro,2014,19911.753000000004,33,RJ,16461200,Desligado,87948,120.96173425995677,534.2745364857968
554,Crime contra a vida,Rio de Janeiro,2014,39.0,33,RJ,16461200,Desligado,87948,0.23692075911841176,534.2745364857968
559,Crime contra a vida,Rio de Janeiro,2014,4610.0,33,RJ,16461200,Desligado,87948,28.00524870604816,534.2745364857968
564,Crime contra o patrimônio,Rio de Janeiro,2014,17684.0,33,RJ,16461200,Desligado,87948,107.42837703205113,534.2745364857968
569,Crime contra a vida,Rio de Janeiro,2014,5163.0,33,RJ,16461200,Desligado,87948,31.36466357252205,534.2745364857968
574,Crime contra a vida,Rio Grande do Norte,2014,20.0,24,RN,3408510,Desligado,7224,0.586766651704117,211.9401145955271
579,Crime contra o patrimônio,Rio Grande do Norte,2014,822.0,24,RN,3408510,Desligado,7224,24.11610938503921,211.9401145955271
584,Crime contra a vida,Rio Grande do Norte,2014,95.0,24,RN,3408510,Desligado,7224,2.787141595594556,211.9401145955271
589,Crime contra a vida,Rio Grande do Norte,2014,871.0,24,RN,3408510,Desligado,7224,25.553687681714297,211.9401145955271
594,Crime contra o patrimônio,Rio Grande do Norte,2014,406.0,24,RN,3408510,Desligado,7224,11.911363029593575,211.9401145955271
599,Crime contra a vida,Rio Grande do Norte,2014,215.0,24,RN,3408510,Desligado,7224,6.3077415058192585,211.9401145955271
604,Crime contra a vida,Rondônia,2014,22.0,11,RO,1748530,Desligado,7776,1.258199744928597,444.7164189347624
